projectName,openedDate,resolvedDate,locationName,itemSymptom,assignedGroup,contactType,priorityLevel,taskType
Novelis,10/31/2015 07:10:00,8/3/2016 07:37:00,NNA/Corp - Atlanta HQ,SAP Password Reset,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,10/20/2014 07:13:00,9/1/2016 12:14:00,NNA - Oswego,Software Installation Request,IT Desktop Oswego L2,Phone,3 - Moderate,Catalog Task
Novelis,6/21/2014 07:15:00,8/5/2016 03:20:00,NE - Sierre,SAP - All other issues,IT App NE SIERRE SAP L2,Self-service,3 - Normal,Incident
Novelis,5/12/2014 07:16:00,8/3/2016 07:27:00,NSA - Pinda,Oracle - Password Reset,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,2/13/2014 07:16:00,8/3/2016 07:23:00,NNA - Oswego,Status Check Incident,IT Incident Coordinator NNA L2,Phone,4 - Low,Incident
Novelis,4/30/2014 07:21:00,8/4/2016 10:13:00,NNA - Novi,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,3/3/2015 07:23:00,8/4/2016 10:16:00,NNA - Novi,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,8/11/2014 07:23:00,8/3/2016 08:34:00,NSA - Sao Paulo,Telecoms All Other Issues,IT Infra NSA Telephony L2,Phone,3 - Normal,Incident
Novelis,6/8/2014 07:29:00,8/8/2016 08:06:00,NSA - Pinda,Novelis Specific Software - Configuration,IT App NSA Design to Deploy L2,Phone,3 - Normal,Incident
Novelis,6/12/2014 07:32:00,8/3/2016 12:40:00,NSA - Pinda,Printer Configuration,IT Desktop Pinda L2,Phone,3 - Normal,Incident
Novelis,8/27/2015 07:34:00,8/3/2016 07:35:00,NNA/Corp - Atlanta HQ,Status Check,IT Service Desk NNA L1,Chat,4 - Low,Incident
Novelis,5/3/2015 07:35:00,8/7/2016 09:41:00,NSA - Pinda,Email - Spam/Phishing Email,IT Service Desk PhishMe L1,Email,3 - Normal,Incident
Novelis,12/2/2014 07:35:00,8/3/2016 07:41:00,NSA - Utinga,Oracle - Password Reset,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,10/19/2015 07:40:00,8/3/2016 07:52:00,NSA - Pinda,Novelis Specific Software - Password Res,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,10/11/2014 07:45:00,8/18/2016 06:25:00,NE - Bresso,Peripherals,IT Desktop Italy L2,Phone,3 - Moderate,Catalog Task
Novelis,1/24/2014 07:45:00,8/8/2016 04:20:00,NE - Pieve,Peripherals,IT Desktop Italy L2,Phone,3 - Moderate,Catalog Task
Novelis,2/18/2014 07:46:00,8/16/2016 11:57:00,NNA/Corp - Atlanta HQ,Services How to,IT SCCM L2,Phone,3 - Normal,Incident
Novelis,5/5/2014 07:46:00,8/3/2016 12:00:00,NSA - Utinga,Employee and Contractor Off Boarding,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,5/23/2015 07:46:00,8/3/2016 07:59:00,NSA - Utinga,Employee and Contractor Off Boarding,IT Desktop Utinga L2,Phone,3 - Moderate,Catalog Task
Novelis,1/7/2015 07:46:00,8/3/2016 07:51:00,NSA - Sao Paulo,Windows Configuration,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,11/29/2015 07:48:00,8/4/2016 07:26:00,NSA - Pinda,Novelis Specific Software - Software Req,IT App NSA BI & Analytics L2,Phone,3 - Normal,Incident
Novelis,8/3/2014 07:48:00,8/3/2016 09:32:00,NSA - Pinda,Active Directory - Account Disabled,IT Active Directory L2,Phone,3 - Normal,Incident
Novelis,3/6/2014 07:49:00,8/3/2016 08:04:00,NSA - Pinda,Outlook - Troubleshoot,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,7/1/2015 07:50:00,8/3/2016 07:51:00,NE - Zurich,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,2/25/2016 07:50:00,8/3/2016 07:50:00,NE - Zurich,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,10/24/2015 07:51:00,8/3/2016 08:24:00,NNA - Oswego,MS Office - All Other Issues,IT Desktop Oswego L2,Phone,3 - Normal,Incident
Novelis,4/17/2016 07:51:00,8/3/2016 02:48:00,NE - Sierre,Novelis Specific Software - Software Iss,IT Desktop Sierre L2,Phone,3 - Normal,Incident
Novelis,4/12/2015 07:52:00,8/3/2016 13:35:00,NNA/Corp - Atlanta HQ,Vendor Master Create/Change,SAP Procurement Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,4/4/2015 07:52:00,8/3/2016 10:45:00,NSA - Pinda,Desktop Phone,IT Infra NSA Printer Support L2,Phone,3 - Moderate,Catalog Task
Novelis,8/10/2014 07:56:00,8/9/2016 04:54:00,NNA/Corp - Atlanta HQ,Services How to,IT SCCM L2,Phone,3 - Normal,Incident
Novelis,8/6/2014 07:57:00,8/3/2016 15:24:00,NNA - Oswego,Transfer Pricing,SAP Administrative Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,9/13/2014 07:58:00,8/3/2016 08:48:00,NE - Zurich,Novelis Specific Software - Access/Permi,IT Desktop Zurich L2,Self-service,3 - Normal,Incident
Novelis,7/25/2016 08:03:00,8/8/2016 04:29:00,NNA/Corp - Atlanta HQ,Novelis Specific Software - Software Iss,IT Site Coordinator L2,Phone,3 - Normal,Incident
Novelis,4/8/2016 08:05:00,8/3/2016 08:10:00,NSA - Pinda,Windows - All Other Issues,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,7/26/2014 08:07:00,8/7/2016 09:45:00,NNA - Kennesaw R&T,Email - Spam/Phishing Email,IT Service Desk PhishMe L1,Email,3 - Normal,Incident
Novelis,7/25/2016 08:08:00,8/3/2016 10:39:00,NSA - Sao Paulo,Network All Other Issues,IT Desktop Sao Paulo L2,Walk-in,3 - Normal,Incident
Novelis,5/31/2014 08:09:00,8/7/2016 09:47:00,NNA - Kingston,Email - Spam/Phishing Email,IT Service Desk PhishMe L1,Email,3 - Normal,Incident
Novelis,4/30/2014 08:12:00,8/4/2016 09:22:00,NSA - Utinga,Employee and Contractor Off Boarding,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,5/10/2016 08:12:00,8/3/2016 08:39:00,NSA - Utinga,Employee and Contractor Off Boarding,IT Desktop Utinga L2,Phone,3 - Moderate,Catalog Task
Novelis,7/14/2014 08:14:00,8/3/2016 09:25:00,NE - Ohle,Virus / Malware - All issues,IT Desktop Ohle L2,Phone,3 - Normal,Incident
Novelis,9/3/2014 08:15:00,8/3/2016 08:54:00,NNA - Oswego,Services How to,IT Messaging L2,Phone,3 - Normal,Incident
Novelis,4/16/2015 08:15:00,8/3/2016 08:43:00,NE - Bresso,Status Check Request,IT Service Desk NNA L1,Phone,4 - Low,Incident
Novelis,6/30/2016 08:15:00,8/3/2016 08:27:00,NE - Bresso,Active Directory - Update Information,IT Service Desk NNA L1,Phone,3 - Normal,Incident
Novelis,2/27/2016 08:16:00,8/4/2016 09:54:00,,Application Access Management,IT App Global Cap Package L2,Phone,3 - Moderate,Catalog Task
Novelis,10/24/2014 08:18:00,8/3/2016 11:01:00,NNA - Oswego,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,12/20/2015 08:19:00,8/3/2016 10:55:00,NSA - Pinda,Shared Folder: Creation and Access Request ,IT Infra NSA Account Management L2,Phone,3 - Moderate,Catalog Task
Novelis,6/22/2015 08:21:00,8/3/2016 08:39:00,NE - Bresso,Status Check Request,IT Service Desk NNA L1,Phone,4 - Low,Incident
Novelis,8/20/2015 08:21:00,8/3/2016 08:35:00,NE - Bresso,Status Check Incident,IT Service Desk NNA L1,Phone,4 - Low,Incident
Novelis,11/22/2015 08:22:00,8/8/2016 00:57:00,NNA - Kennesaw R&T,Email - Spam/Phishing Email,IT Messaging L2,Email,3 - Normal,Incident
Novelis,12/18/2014 08:22:00,8/7/2016 10:05:00,NNA - Kennesaw R&T,Email - Spam/Phishing Email,IT Service Desk PhishMe L1,Email,3 - Normal,Incident
Novelis,1/17/2015 08:22:00,1/1/1900 00:00:00,NNA - Kennesaw R&T,Email - Spam/Phishing Email,IT Security L3,Email,3 - Normal,Incident
Novelis,2/4/2014 08:29:00,8/3/2016 15:29:00,NNA - Oswego,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,7/27/2014 08:29:00,8/3/2016 15:22:00,NSA - Utinga,PC / Laptop How to,IT Desktop Utinga L2,Phone,3 - Normal,Incident
Novelis,1/31/2016 08:29:00,8/3/2016 09:13:00,NSA - Pinda,Novelis Specific Software - Password Res,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,12/6/2014 08:30:00,8/8/2016 00:59:00,NNA - Kennesaw R&T,Email - Spam/Phishing Email,IT Messaging L2,Email,3 - Normal,Incident
Novelis,2/15/2014 08:30:00,8/3/2016 15:56:00,NNA - Kingston,Cost Center/Cost Center Groups,SAP Administrative Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,6/16/2014 08:31:00,8/4/2016 13:37:00,NSA - Pinda,Citrix ? All other issues,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,5/13/2015 08:38:00,8/3/2016 11:58:00,NNA/Corp - Atlanta HQ,Employee and Contractor Off Boarding,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,8/26/2014 08:38:00,8/3/2016 10:41:00,NSA - Pinda,Outlook - All Other Issues,IT Infra NSA Account Management L2,Phone,3 - Normal,Incident
Novelis,11/9/2014 08:38:00,8/3/2016 08:53:00,NNA/Corp - Atlanta HQ,Employee and Contractor Off Boarding,IT Desktop Atlanta L2,Phone,3 - Moderate,Catalog Task
Novelis,9/13/2015 08:38:00,8/3/2016 08:50:00,NE - Zurich,SAP - Password Reset (Others),IT Service Desk NE L1,Email,2 - Urgent,Incident
Novelis,8/23/2015 08:38:00,8/3/2016 08:43:00,NNA/Corp - Atlanta HQ,Employee and Contractor Off Boarding,IT FIM AD Request Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,8/15/2014 08:41:00,8/3/2016 08:46:00,NNA - Oswego,Call Disconnected,IT Service Desk NNA L1,Chat,4 - Low,Incident
Novelis,11/21/2014 08:42:00,8/3/2016 15:20:00,NNA - Kingston,Novelis Specific Software - Data Issue,IT App NNA Cap Shopfloor L2,Phone,3 - Normal,Incident
Novelis,8/30/2015 08:42:00,8/3/2016 10:30:00,NNA/Corp - Atlanta HQ,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,2/6/2016 08:43:00,8/3/2016 08:49:00,NSA - Utinga,Access/Permissions,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,5/10/2016 08:45:00,8/3/2016 08:54:00,NNA - Oswego,Software Installation Request,IT Desktop Oswego L2,Phone,3 - Moderate,Catalog Task
Novelis,5/25/2016 08:45:00,8/3/2016 08:48:00,NSA - Pinda,Active Directory - Password Reset,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,9/29/2015 08:47:00,8/3/2016 08:52:00,NNA/Corp - Atlanta HQ,Lotus Notes - Configuration,IT App NNA Cap Forms L2,Phone,3 - Normal,Incident
Novelis,2/25/2016 08:48:00,8/4/2016 02:37:00,NE - Zurich,SAP Password Reset,IT Service Desk NE L1,Phone,3 - Moderate,Catalog Task
Novelis,8/8/2016 08:49:00,8/11/2016 04:26:00,NE - Goettingen,SAP Access Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,4/28/2015 08:49:00,8/3/2016 09:47:00,NE - Goettingen,SAP Access Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,11/17/2015 08:49:00,8/3/2016 09:11:00,NSA - Pinda,Outlook - Configuration,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,2/15/2015 08:52:00,8/3/2016 14:08:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,11/12/2015 08:53:00,8/3/2016 10:14:00,NE - Goettingen,AS400 - All Other Issues,IT App NE Italy AS400 L2,Self-service,3 - Normal,Incident
Novelis,4/15/2014 08:56:00,8/5/2016 08:38:00,NSA - Pinda,Shared Folder: Creation and Access Request ,IT Infra NSA Account Management L2,Phone,3 - Moderate,Catalog Task
Novelis,2/7/2014 08:56:00,8/3/2016 14:57:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,7/14/2014 08:56:00,8/3/2016 14:26:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,5/28/2014 08:56:00,8/3/2016 10:32:00,NNA - Oswego,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,6/5/2014 08:57:00,8/3/2016 16:59:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,7/14/2016 09:03:00,8/3/2016 09:34:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Oswego Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,3/26/2014 09:05:00,8/4/2016 07:12:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,5/25/2015 09:07:00,8/3/2016 10:58:00,NSA - Pinda,Shared Folder: Creation and Access Request ,IT Infra NSA Account Management L2,Phone,3 - Moderate,Catalog Task
Novelis,7/28/2015 09:07:00,8/3/2016 09:21:00,NSA - Sao Paulo,Access/Permissions,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,4/9/2015 09:09:00,8/4/2016 10:30:00,,Network Device Issue,IT VoIP L2,Phone,3 - Normal,Incident
Novelis,6/13/2014 09:09:00,8/3/2016 09:14:00,NNA/Corp - Atlanta HQ,VPN - Troubleshoot,IT Service Desk NNA L1,Phone,3 - Normal,Incident
Novelis,8/1/2015 09:12:00,8/5/2016 07:33:00,NSA - Utinga,VPN - Troubleshoot,IT Desktop Utinga L2,Self-service,3 - Normal,Incident
Novelis,9/29/2015 09:12:00,8/3/2016 09:21:00,NNA/Corp - Atlanta HQ,Status Check Request,IT Service Desk NNA L1,Phone,4 - Low,Incident
Novelis,2/17/2014 09:13:00,8/8/2016 11:13:00,NSA - Sao Paulo,Novelis Specific Software - Software Iss,IT SCCM L2,Self-service,3 - Normal,Incident
Novelis,4/1/2015 09:13:00,8/4/2016 12:59:00,NNA - Oswego,Lotus Notes ID+PWD,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,5/8/2016 09:13:00,8/3/2016 11:00:00,NNA - Oswego,New eMail Account,IT Messaging L2,Phone,3 - Moderate,Catalog Task
Novelis,1/17/2014 09:16:00,8/3/2016 09:30:00,NSA - Salvador (Collection Center),Oracle - All Other Issues,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,5/16/2015 09:18:00,8/23/2016 05:24:00,,Application Access Management,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,5/2/2016 09:19:00,8/9/2016 13:45:00,NNA - Oswego,Telephony Device Issue,IT Telecom L2,Self-service,3 - Normal,Incident
Novelis,12/16/2014 09:19:00,8/5/2016 12:05:00,NSA - Sao Paulo,Hardware How to,IT Infra NSA Datacenter L2,Phone,3 - Normal,Incident
Novelis,3/1/2016 09:19:00,8/3/2016 10:34:00,NNA - Oswego,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,5/25/2014 09:19:00,8/3/2016 09:54:00,NSA - Sao Paulo,Telephony Device Issue,IT Infra NSA Telephony L2,Phone,3 - Normal,Incident
Novelis,8/25/2014 09:20:00,8/9/2016 04:41:00,NSA - Pinda,VPN - Configuration,IT Security L2,Self-service,3 - Normal,Incident
Novelis,7/14/2015 09:20:00,8/4/2016 10:28:00,NNA/Corp - Atlanta HQ,Oracle - All Other Issues,IT Desktop Atlanta L2,Self-service,3 - Normal,Incident
Novelis,5/31/2016 09:23:00,8/3/2016 16:47:00,NNA/Corp - Atlanta HQ,Security - Authorization,IT App SAP-Security L2,Self-service,3 - Normal,Incident
Novelis,10/3/2015 09:29:00,8/4/2016 11:21:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,12/7/2015 09:32:00,8/8/2016 11:06:00,NNA/Corp - Atlanta HQ,Services How to,IT Desktop Atlanta L2,Self-service,3 - Normal,Incident
Novelis,11/4/2014 09:33:00,8/3/2016 11:03:00,NSA - Sao Paulo,Active Directory - Update Information,IT Active Directory L2,Phone,3 - Normal,Incident
Novelis,10/4/2014 09:34:00,8/3/2016 15:47:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,6/12/2016 09:35:00,8/3/2016 10:36:00,NNA - Fairmont,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,11/7/2015 09:36:00,8/3/2016 10:40:00,NNA - Fairmont,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,11/8/2015 09:36:00,8/3/2016 10:39:00,NNA - Fairmont,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,4/15/2014 09:41:00,8/3/2016 09:46:00,NSA - Pinda,PC / Laptop Peripherals,IT Desktop Pinda L2,Walk-in,3 - Normal,Incident
Novelis,3/29/2016 09:41:00,8/3/2016 09:44:00,NSA - Pinda,PC / Laptop Peripherals,IT Desktop Pinda L2,Walk-in,3 - Normal,Incident
Novelis,5/29/2016 09:43:00,8/3/2016 09:50:00,NNA - Oswego,Metal Materials,SAP Oswego Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,2/8/2015 09:44:00,8/3/2016 11:41:00,NSA - Pinda,Citrix ? All other issues,IT Infra NSA Account Management L2,Self-service,3 - Normal,Incident
Novelis,8/3/2016 09:45:00,9/8/2016 02:01:00,NNA - Berea,Oracle - All Other Issues,IT App NNA Cap Package L2,Phone,3 - Normal,Incident
Novelis,12/5/2014 09:45:00,8/6/2016 17:57:00,,Network Device Issue,IT Network L2,Phone,3 - Normal,Incident
Novelis,3/9/2014 09:45:00,8/3/2016 11:14:00,NE - Bresso,AS400 - All Other Issues,IT App NE Italy AS400 L2,Phone,3 - Normal,Incident
Novelis,1/28/2015 09:45:00,8/3/2016 09:53:00,NSA - Pinda,Oracle - Password Reset,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,5/4/2015 09:46:00,8/3/2016 09:50:00,NSA - Pinda,PC / Laptop Device Issue,IT Desktop Pinda L2,Walk-in,3 - Normal,Incident
Novelis,5/26/2014 09:46:00,8/3/2016 09:48:00,NNA/Corp - Atlanta HQ,Non IT Questions,IT Service Desk NNA L1,Phone,3 - Normal,Incident
Novelis,8/20/2015 09:47:00,8/3/2016 10:23:00,NNA - Oswego,Novelis Specific Software - How To,IT Service Desk NNA L1,Phone,3 - Normal,Incident
Novelis,4/3/2016 09:48:00,8/3/2016 16:22:00,NSA - Sao Paulo,Outlook - All Other Issues,IT Desktop Sao Paulo L2,Walk-in,3 - Normal,Incident
Novelis,8/1/2014 09:48:00,8/3/2016 12:02:00,NSA - Sao Paulo,Outlook - All Other Issues,IT Desktop Sao Paulo L2,Walk-in,3 - Normal,Incident
Novelis,3/10/2014 09:50:00,8/3/2016 16:16:00,NNA/Corp - Atlanta HQ,Laptop / Tablet,IT Service Desk NNA L1,Phone,3 - Moderate,Catalog Task
Novelis,3/29/2014 09:50:00,8/3/2016 11:14:00,NNA - Oswego,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,8/24/2016 09:50:00,8/3/2016 09:56:00,NSA - Pinda,Office 365,IT Desktop Pinda L2,Walk-in,3 - Normal,Incident
Novelis,5/26/2016 09:51:00,8/3/2016 16:31:00,NNA/Corp - Atlanta HQ,Laptop / Tablet,IT Service Desk NNA L1,Phone,3 - Moderate,Catalog Task
Novelis,11/26/2015 09:52:00,8/3/2016 09:53:00,NNA - Oswego,Metal Materials,SAP Oswego Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,6/29/2015 09:53:00,8/3/2016 16:05:00,NNA - Oswego,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,1/5/2016 09:54:00,8/7/2016 10:10:00,NNA/Corp - Atlanta HQ,Email - Spam/Phishing Email,IT Service Desk PhishMe L1,Email,3 - Normal,Incident
Novelis,5/10/2014 09:54:00,8/3/2016 12:58:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Kingston Plant Controllers,Phone,3 - Moderate,Catalog Task
Novelis,2/19/2015 09:54:00,8/3/2016 11:09:00,NSA - Pinda,Shared Folder: Creation and Access Request ,IT Infra NSA Account Management L2,Phone,3 - Moderate,Catalog Task
Novelis,3/5/2016 09:55:00,8/9/2016 17:06:00,NNA/Corp - Atlanta HQ,Network Device Issue,IT Network L2,Phone,3 - Normal,Incident
Novelis,10/30/2015 09:57:00,8/8/2016 06:45:00,NNA - Warren,Maximo,IT App NNA Cap Package L2,Email,3 - Normal,Incident
Novelis,5/16/2014 09:57:00,8/3/2016 10:00:00,NSA - Sao Paulo,PC / Laptop Device Issue,IT Desktop Pinda L2,Walk-in,3 - Normal,Incident
Novelis,8/8/2015 09:58:00,8/4/2016 08:40:00,NE - Zurich,Telephony Device Issue,IT Desktop Zurich L2,Self-service,3 - Normal,Incident
Novelis,3/29/2014 10:01:00,8/3/2016 16:51:00,NNA/Corp - Atlanta HQ,Active Directory - Profile Issue,IT Messaging L2,Self-service,3 - Normal,Incident
Novelis,6/8/2014 10:01:00,8/3/2016 10:18:00,NSA - Utinga,Outlook - Configuration,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,2/3/2016 10:02:00,8/5/2016 12:09:00,NSA - Sao Paulo,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,12/18/2015 10:04:00,8/3/2016 10:10:00,NSA - Pinda,Windows Configuration,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,3/28/2015 10:06:00,8/3/2016 10:53:00,NNA/Corp - Atlanta HQ,SAP Access Assignment Request,IT App SAP-Security L2,Phone,3 - Moderate,Catalog Task
Novelis,8/19/2015 10:09:00,8/8/2016 09:01:00,NNA/Corp - Atlanta HQ,Functional Support - Functional analysis,IT APP Global SAP P2S SCP L2,Phone,4 - Low,Incident
Novelis,4/23/2014 10:11:00,8/3/2016 10:16:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Oswego Product Engineers,Phone,3 - Moderate,Catalog Task
Novelis,1/25/2014 10:12:00,8/3/2016 11:24:00,NNA/Corp - Atlanta HQ,Peripherals,IT Desktop Atlanta L2,Phone,3 - Moderate,Catalog Task
Novelis,9/30/2014 10:13:00,9/9/2016 08:00:00,NNA/Corp - Atlanta HQ,Peripherals,IT Desktop Atlanta L2,Phone,3 - Moderate,Catalog Task
Novelis,7/31/2014 10:14:00,8/3/2016 10:32:00,NSA - Pinda,Oracle - Password Reset,IT Service Desk NSA L1,Phone,3 - Normal,Incident
Novelis,5/21/2014 10:16:00,8/3/2016 16:09:00,NNA/Corp - Atlanta HQ,Metal Materials,SAP Manufacturing Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,7/4/2014 10:17:00,8/3/2016 10:19:00,NNA - Oswego,Lotus Notes - Configuration,IT Desktop Oswego L2,Phone,3 - Normal,Incident
Novelis,1/18/2015 10:18:00,8/4/2016 10:51:00,NNA - Oswego,Vendor Master Create/Change,SAP Procurement Master Data Team,Phone,3 - Moderate,Catalog Task
Novelis,5/14/2014 10:19:00,8/8/2016 05:08:00,NSA - Pinda,Oracle - All Other Issues,IT App NNA Cap Forms L2,Self-service,3 - Normal,Incident
Novelis,3/4/2015 10:19:00,8/5/2016 12:06:00,NNA/Corp - Atlanta HQ,Software Installation Request,IT SCCM Software Distribution Service Desk L2,Phone,3 - Moderate,Catalog Task
Novelis,12/16/2014 10:19:00,8/3/2016 10:53:00,NSA - Pinda,Shared Folder: Creation and Access Request ,IT Infra NSA Account Management L2,Phone,3 - Moderate,Catalog Task
Novelis,10/26/2014 10:21:00,8/5/2016 09:18:00,NNA/Corp - Atlanta HQ,Software Application Package Creation,IT SCCM L2,Phone,3 - Moderate,Catalog Task
